,Feature
598,"1,1-Dichloro-1,2,2-trifluoroethane (HCFC-123b)"
599,"2,4-D 2-ethyl-4-methylpentyl ester"
600,"2,4-D isopropyl ester"
601,Anilazine
602,"1,2-Dichloro-1,1,3,3,3-pentafluoropropane (HCFC-225da)"
603,Methazole
604,Metiram
605,Octachloronaphthalene
606,alpha-Hexachlorocyclohexane
607,beta-Propiolactone
608,p-Chlorophenyl isocyanate
609,"2,3-dichloro-1,1,1,2,3-pentafluoropropane (HCFC-225ba)"
610,"3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)"
611,"2,4-D propylene glycol butyl ether ester"
612,Mustard gas
613,"2,2-Bis(bromomethyl)-1,3-propanediol"
614,"2,4-D chlorocrotyl ester"
615,2-Aminoanthraquinone
616,Furan
617,Glycidol
618,Isoprene
619,Methyleugenol
620,Nitromethane
621,Phenolphthalein
622,Tetrafluoroethylene
623,Vinyl fluoride
624,Hydrogen sulfide
625,Dichlorophene
626,Monuron
627,C.I. Vat Yellow 4
628,Manganese  And Manganese Compounds
629,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region)
630,Nonylphenol
631,1-Bromopropane
632,Antimony  And Antimony Compounds
633,Fenoxaprop-ethyl
634,Copper  And Copper Compounds
635,Hexabromocyclododecane
636,Arsenic  And Arsenic Compounds
637,Barium  And Barium Compounds
638,Beryllium  And Beryllium Compounds
639,Cadmium  And Cadmium Compounds
640,Cobalt  And Cobalt Compounds
641,Lead  And Lead Compounds
642,Mercury  And Mercury Compounds
643,Nickel  And Nickel Compounds
644,Selenium  And Selenium Compounds
645,Silver And Silver Compounds
646,Thallium  And Thallium Compounds
647,Nonylphenol Ethoxylates
648,"1,1,2,2-Tetrahydroperfluorodecyl acrylate"
649,"1,1,2,2-Tetrahydroperfluorododecyl acrylate"
650,"1,1,2,2-Tetrahydroperfluorohexadecyl acrylate"
651,"1,1,2,2-Tetrahydroperfluorotetradecyl acrylate"
652,"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-"
653,"1-Octanesulfonamide, N-butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-"
654,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-, 3-[(γ-ω-perfluoro-C6-20-alkyl)thio] derivs., chlorides"
655,"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, iodide"
656,"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, iodide"
657,"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, iodide"
658,"1-Propanesulfonic acid, 2-methyl-, 2-[[1-oxo-3-[(γ-ω-perfluoro-C4-16-alkyl)thio]propyl]amino] derivs., sodium salts"
659,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-propenoate"
660,"2-Propenoic acid, butyl ester, telomer with 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,4-butanediyl), α-(2-methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,4-butanediyl), 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol"
661,"2-Propenoic acid, esters, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene)"
662,2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate
663,"3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide"
664,"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-"
665,"Ethanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide"
666,"Ethanol, 2,2'-iminobis-, compd. with α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoropoly(difluoromethylene)] (1:1)"
667,"Ethanol, 2,2'-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (2:1)"
668,Hexafluoropropylene oxide dimer acid
669,Hexafluoropropylene oxide dimer acid ammonium salt
670,Methyl perfluorooctanoate
671,"Octanoyl fluoride, pentadecafluoro-"
672,Perfluorodecanoic acid
673,Perfluorododecanoic acid
674,Perfluorohexanesulfonic acid
675,Perfluorononanoic acid
676,Perfluorooctane sulfonic acid
677,Perfluorooctanoic acid
678,Perfluorooctyl Ethylene
679,"Phosphonic acid, perfluoro-C6-12-alkyl derivs."
680,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-, ammonium salt"
681,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro-, lithium salt"
682,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, diammonium salt"
683,"Poly(difluoromethylene), α-fluoro-ω-[2-[(1-oxo-2-propenyl)oxy]ethyl]-, homopolymer"
684,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-"
685,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly(difluoromethylene) (1:1)"
686,Potassium perfluorooctanesulfonate
687,"Siloxanes and Silicones, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether"
688,Sulfluramid
689,"Sulfonic acids, C6-12-alkane, γ-ω-perfluoro, ammonium salts"
690,"Thiols, C10-20, γ-ω-perfluoro"
691,"Thiols, C4-10, γ-ω-perfluoro"
692,"Thiols, C6-12, γ-ω-perfluoro"
693,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide"
694,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-"
695,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(γ-ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts"
696,"Alcohols, C8-14, γ-ω-perfluoro"
697,Chromium(III) perfluorooctanoate
698,"Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)"
699,Perfluorooctyl iodide
700,Perfluorotetradecanoic acid
701,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-methoxy-"
702,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-"
703,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-methyl-2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-methyl-2-propenoate"
704,Perfluorobutane sulfonic acid
705,Perfluorooctylsulfonyl fluoride
706,"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivs."
707,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-"
708,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-"
709,Potassium perfluorobutane sulfonate
710,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran"
711,"1,3-Dichloro-2-propanol"
712,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-"
713,"2-Propenoic acid, 2-[butyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, telomer with 2-[butyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, methyloxirane polymer with oxirane di-2-propenoate, methyloxirane polymer with oxirane mono-2-propenoate and 1-octanethiol"
714,"Acetamide, N-(2-aminoethyl), 2[(γ-ω-perfluoro-C4-20-alkyl)thio] derivs., polymers with N1,N1-dimethyl-1,3-propanediamine, epichlorohydrin and ethylenediamine, oxidized"
715,"Acetic acid, 2-[(γ-ω-perfluoro-C4-20-alkyl)thio] derivs., 2-hydroxypropyl esters"
716,Dibutyltin dichloride
717,Formamide
718,N-Hydroxyethylethylenediamine
719,Nitrilotriacetic acid trisodium salt
720,"Octadecanoic acid, pentatriacontafluoro-"
721,Perfluorobutanoic acid
722,"Phosphoric acid, γ-ω-perfluoro-C8-16-alkyl esters, compds. with diethanolamine"
723,Triglycidyl isocyanurate
724,"Tris(1,3-dichloro-2-propyl) phosphate"
725,"p-(1,1,3,3-Tetramethylbutyl)phenol"
726,isimpaired
727,isthreatened
